organization_name,company_type,industry,official_domain,source_type,source_url,official_entrypoint_url,admission_evidence,adapter_name,parser_config,is_active
腾讯,private,互联网/科技,qq.com,api,https://join.qq.com/post.html,,T3 stable source P01; work/phase-02-t3-api-acceptance-cycle-14-tencent-offline.json; official page https://join.qq.com/post.html; official recruitment page and endpoint were validated,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p01"",""official_page_url"":""https://join.qq.com/post.html"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""2027届"",""title"":""腾讯校园招聘""},""batch_partitions"":[{""batch"":{""deadline"":"""",""identity_key"":""official-project:tencent:project:1"",""official_page_url"":""https://join.qq.com/post.html"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""毕业时间为2026年1月至2027年12月"",""title"":""腾讯应届毕业生招聘""},""row_filters"":[{""equals_any"":[1],""path"":""projectId""}]},{""batch"":{""deadline"":"""",""identity_key"":""official-project:tencent:project:14"",""official_page_url"":""https://join.qq.com/post.html"",""published_on"":"""",""recruitment_type"":""special_program"",""target_audience"":""毕业时间为2026年1月至2027年12月"",""title"":""腾讯青云计划（应届生）""},""row_filters"":[{""equals_any"":[14],""path"":""projectId""}]},{""batch"":{""deadline"":"""",""identity_key"":""official-project:tencent:project:9"",""official_page_url"":""https://join.qq.com/post.html"",""published_on"":"""",""recruitment_type"":""special_program"",""target_audience"":""毕业时间为2026年1月至2027年12月"",""title"":""腾讯 AI 产品经理培训生""},""row_filters"":[{""equals_any"":[9],""path"":""projectId""}]}],""body"":{""bgList"":[],""keyword"":"""",""pageIndex"":1,""pageSize"":100,""positionFidList"":[],""projectIdList"":[],""projectMappingIdList"":[1,14,9],""recruitCityList"":[],""workCityList"":[],""workCountryType"":0},""body_encoding"":""json"",""endpoint"":""https://join.qq.com/api/v1/position/searchPosition"",""field_map"":{""location"":""workCities"",""position_key"":""postId"",""title"":""positionTitle""},""headers"":{""Accept"":""application/json"",""Origin"":""https://join.qq.com"",""Referer"":""https://join.qq.com/post.html""},""list_path"":""data.positionList"",""method"":""POST"",""pagination"":{""max_pages"":10,""mode"":""page_index"",""page_param"":""pageIndex"",""page_size"":100,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[],""success"":{""expect"":0,""path"":""status""},""total_path"":""data.count""}",false
宁德时代,private,新能源/制造,catl.com,ats,https://app.mokahr.com/campus-recruitment/catlhr/148948#/,https://talent.catl.com/,T3 stable source P15; work/phase-02-t3-api-acceptance-cycle-15-catl.json; official page https://app.mokahr.com/campus-recruitment/catlhr/148948#/; official recruitment page and endpoint were validated,moka_public_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p15"",""official_page_url"":""https://app.mokahr.com/campus-recruitment/catlhr/148948#/"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""2027届"",""title"":""宁德时代校园招聘""},""max_pages"":10,""mode"":""campus"",""org_id"":""catlhr"",""page_size"":100,""request_delay_seconds"":1,""site_id"":148948}",false
比亚迪,private,新能源汽车/制造,byd.com,api,https://job.byd.com/portal/mobile/school-home,,T3 stable source P19; work/phase-02-t3-api-acceptance-cycle-16-seven-sources.json; official page https://job.byd.com/portal/mobile/school-home; 比亚迪官方招聘站公开的 2027 届应届生招聘通道,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p19"",""official_page_url"":""https://job.byd.com/portal/mobile/school-home"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""2027届"",""title"":""比亚迪校园招聘""},""body"":{""abroad"":""00112"",""batch"":""2027"",""campusNature"":""008501"",""degree"":"""",""jobType"":[],""keywords"":"""",""pageIndex"":1,""pageSize"":100,""researchDirection"":[],""topicCode"":""2076475538687475714"",""workPlace"":[]},""body_encoding"":""json"",""endpoint"":""https://job.byd.com/portal/api/portal-api/schoolPortal/queryPositionList"",""field_map"":{""location"":""workPlace"",""position_key"":""id"",""title"":""jobName"",""updated_at"":""updateTime""},""headers"":{""Accept"":""application/json"",""Referer"":""https://job.byd.com/""},""list_path"":""data"",""method"":""POST"",""pagination"":{""max_pages"":10,""mode"":""page_index"",""page_param"":""pageIndex"",""page_size"":100,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[],""success"":{""expect"":0,""path"":""code""},""total_path"":""page.totalCount""}",false
中国电信集团有限公司,state_owned,通信,chinatelecom.com.cn,api,https://job.chinatelecom.com.cn/wt/TELE/web/postinquiry,,T3 stable source S03; work/phase-02-t3-api-acceptance-cycle-16-seven-sources.json; official page https://job.chinatelecom.com.cn/wt/TELE/web/postinquiry; 中国电信官网招聘入口直达同域公开岗位查询页,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:s03"",""official_page_url"":""https://job.chinatelecom.com.cn/wt/TELE/web/postinquiry"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""中国电信集团有限公司校园招聘""},""body"":{""jobCategory"":"""",""keyWord"":"""",""org"":""581617"",""postName"":"""",""recruitProject"":"""",""recruitType"":""1"",""rowIndex"":""1"",""rowSize"":""50"",""workPlace"":""""},""body_encoding"":""form"",""endpoint"":""https://job.chinatelecom.com.cn/wt/TELE/web/mode400/position/list"",""field_map"":{""location"":""WorkPlace"",""position_key"":""PostId"",""title"":""PostName""},""headers"":{""Accept"":""application/json"",""Referer"":""https://job.chinatelecom.com.cn/wt/TELE/web/postinquiry""},""list_path"":""data.details"",""method"":""POST"",""pagination"":{""max_pages"":5,""mode"":""page_index"",""page_param"":""rowIndex"",""page_size"":50,""size_param"":""rowSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[{""equals_any"":[""校园招聘""],""path"":""RecruitTypeName""}],""success"":{""expect"":""00"",""path"":""code""},""total_path"":""data.rowCount""}",false
中国联合网络通信集团有限公司,state_owned,通信,chinaunicom.com.cn,ats,https://zglt.zhaopin.com/,https://www.chinaunicom.com.cn/46/menu01/528/column06,T3 stable source S04; work/phase-02-t3-api-acceptance-cycle-16-seven-sources.json; official page https://zglt.zhaopin.com/; 中国联通官方招聘入口跳转到智联招聘承载的 2027 校园招聘专题，companyOutId=105347,ats_json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:s04"",""official_page_url"":""https://zglt.zhaopin.com/"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""2027届"",""title"":""中国联合网络通信集团有限公司校园招聘""},""body"":{""campusParentDepartmentIds"":"""",""customTags"":"""",""jobSource"":2,""jobTypes"":"""",""orgDepartmentIds"":[],""orgNumbers"":[""105347""],""pageIndex"":1,""pageSize"":100,""priorityMajors"":"""",""workRegionIds"":""""},""body_encoding"":""json"",""endpoint"":""https://fe.zhaopin.com/grace/api/dsc/search-job-list"",""field_map"":{""location"":""job.cityName||job.address"",""position_key"":""job.id"",""title"":""job.title"",""updated_at"":""job.modifiedTime""},""headers"":{""Accept"":""application/json"",""Origin"":""https://webapp.zhaopin.com"",""Referer"":""https://webapp.zhaopin.com/""},""list_path"":""data.jobList"",""method"":""POST"",""pagination"":{""max_pages"":40,""mode"":""page_index"",""page_param"":""pageIndex"",""page_size"":100,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[],""success"":{""expect"":200,""path"":""code""},""total_path"":""data.pageInfo.totalNum""}",false
亚马逊中国,foreign,电商/云计算,amazon.jobs,api,https://www.amazon.jobs/en/search?base_query=intern,,T3 stable source F02; work/phase-02-t3-api-acceptance-cycle-16-seven-sources.json; official page https://www.amazon.jobs/en/search?base_query=intern; Amazon.jobs 官方公开职位搜索；完整遍历 intern 结果后仅保留 country_code=CHN,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:f02"",""official_page_url"":""https://www.amazon.jobs/en/search?base_query=intern"",""published_on"":"""",""recruitment_type"":""internship"",""target_audience"":""实习生"",""title"":""亚马逊中国实习招聘""},""body_encoding"":""query"",""endpoint"":""https://www.amazon.jobs/en/search.json"",""field_map"":{""location"":""location"",""position_key"":""id"",""title"":""title""},""headers"":{""Accept"":""application/json"",""Referer"":""https://www.amazon.jobs/en/search?base_query=intern""},""list_path"":""jobs"",""method"":""GET"",""pagination"":{""max_pages"":5,""mode"":""offset"",""page_param"":""offset"",""page_size"":100,""size_param"":""result_limit"",""start_offset"":0,""total_kind"":""items""},""params"":{""base_query"":""intern"",""offset"":0,""result_limit"":100},""request_delay_seconds"":1,""row_filters"":[{""equals_any"":[""CHN""],""path"":""country_code""}],""total_path"":""hits""}",false
苹果中国,foreign,消费电子/科技,apple.com,website,https://jobs.apple.com/en-us/search?location=china-CHNC&team=internships-STDNT-INTRN,,T3 stable source F06; work/phase-02-t3-api-acceptance-cycle-16-seven-sources.json; official page https://jobs.apple.com/en-us/search?location=china-CHNC&team=internships-STDNT-INTRN; Apple Careers 官方筛选页同时限定 China 与 Students: Internships,embedded_jobs,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:f06"",""official_page_url"":""https://jobs.apple.com/en-us/search?location=china-CHNC&team=internships-STDNT-INTRN"",""published_on"":"""",""recruitment_type"":""internship"",""target_audience"":""实习生"",""title"":""苹果中国实习招聘""},""field_map"":{""application_url"":"""",""location"":""locations[].name"",""position_key"":""id"",""title"":""postingTitle"",""updated_at"":""""},""headers"":{""Accept"":""text/html""},""list_path"":""loaderData.search.searchResults"",""response_transform"":""apple_hydration"",""row_filters"":[],""total_path"":""loaderData.search.totalRecords""}",false
一汽-大众汽车有限公司,joint_venture,汽车制造,faw-vw.com,ats,https://faw-vw.hotjob.cn/,https://www.faw-vw.com/home,T3 stable source J02; work/phase-02-t3-api-acceptance-cycle-17-faw-midea-pagination.json; official page https://faw-vw.hotjob.cn/; 一汽-大众招聘入口跳转到 faw-zhaopin.hotjob.cn 的公开校招页,ats_json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:j02"",""official_page_url"":""https://faw-vw.hotjob.cn/"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""2026届"",""title"":""一汽-大众汽车有限公司校园招聘""},""body"":{""coordinateLat"":"""",""coordinateLng"":"""",""currentPage"":""1"",""pageSize"":""10"",""recruitType"":""1""},""body_encoding"":""form"",""endpoint"":""https://faw-zhaopin.hotjob.cn/wecruit/positionInfo/listPosition/SU64bb3226bef57c7e364a7a2c?iSaJAx=isAjax&request_locale=zh_CN"",""field_map"":{""location"":""workPlaceStr"",""position_key"":""postId"",""title"":""postName""},""headers"":{""Accept"":""application/json"",""Referer"":""https://faw-zhaopin.hotjob.cn/""},""list_path"":""data.pageForm.pageData"",""method"":""POST"",""pagination"":{""max_pages"":5,""mode"":""page_index"",""page_param"":""currentPage"",""page_size"":10,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[{""equals_any"":[""2026校园招聘""],""path"":""projectName""}],""total_path"":""data.pageForm.dataCount""}",false
美的集团,private,制造/家电,midea.com,api,https://careers.midea.com/schoolOut/post?type=2,,T3 stable source P17; work/phase-02-t3-api-acceptance-cycle-17-faw-midea-pagination.json; official page https://careers.midea.com/schoolOut/post?type=2; 美的官网人才招聘入口直达 careers.midea.com，projectRuleId 对应日常实习生招聘通道,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p17"",""official_page_url"":""https://careers.midea.com/schoolOut/post?type=2"",""published_on"":"""",""recruitment_type"":""internship"",""target_audience"":""实习生"",""title"":""美的集团实习招聘""},""body"":{""keyword"":null,""pageIndex"":1,""pageSize"":10,""projectRuleId"":""4286dfd5-d9e8-4146-8f8c-98093833a81b"",""recruitCategoryIds"":[],""workPlaceCodes"":[]},""body_encoding"":""json"",""endpoint"":""https://careers.midea.com/backend/school/position/common/position/list"",""field_map"":{""location"":""workplaceDtoList[].workPlaceName||workPlaceCode"",""position_key"":""projectPositionId"",""title"":""projectPositionName""},""headers"":{""Accept"":""application/json"",""Referer"":""https://careers.midea.com/""},""list_path"":""data.data"",""method"":""POST"",""pagination"":{""max_pages"":20,""mode"":""page_index"",""page_param"":""pageIndex"",""page_size"":10,""size_param"":""pageSize"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[],""total_path"":""data.total""}",false
携程集团,private,旅游/互联网,ctrip.com,api,https://careers.ctrip.com/#/campus/jobList,,T3 stable source P02; work/phase-02-t3-api-acceptance-cycle-18-evidence-backfill.json; official page https://careers.ctrip.com/#/campus/jobList; 携程官方招聘站的校园招聘岗位页与同域公开接口,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p02"",""official_page_url"":""https://careers.ctrip.com/#/campus/jobList"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""携程集团校园招聘""},""body"":{""condition"":{""bucode"":[],""category"":2,""city"":[],""country"":[],""fromId"":[],""jobFamilyCode"":[],""jobFamilyGroupCode"":[],""keyword"":"""",""kind"":[""1""]},""head"":{""language"":""zh_CN"",""version"":""1""},""pager"":{""index"":1,""size"":100}},""body_encoding"":""json"",""endpoint"":""https://careers.ctrip.com/api/hrrecruit/getJobAd"",""field_map"":{""location"":""cityName"",""position_key"":""jobId"",""title"":""jobTitle""},""headers"":{""Accept"":""application/json"",""Referer"":""https://careers.ctrip.com/#/campus/jobList""},""list_path"":""retValue.recruitJobAdList"",""method"":""POST"",""pagination"":{""max_pages"":5,""mode"":""page_index"",""page_param"":""pager.index"",""page_size"":100,""size_param"":""pager.size"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[{""equals_any"":[""应届校招生"",""Fresh Graduates""],""path"":""kindName""}],""success"":{""expect"":""201"",""path"":""retCode""},""total_path"":""retValue.total""}",false
大疆创新,private,智能硬件/机器人,dji.com,ats,https://apply.careers.dji.com/campus-recruitment/dji/143359?locale=zh-CN#/jobs,https://careers.dji.com/zh-CN/campus,T3 stable source P14; work/phase-02-t3-api-acceptance-cycle-18-evidence-backfill.json; official page https://apply.careers.dji.com/campus-recruitment/dji/143359?locale=zh-CN#/jobs; 大疆官方 2027 校招页直链 apply.careers.dji.com 的 Moka 校招租户,moka_public_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p14"",""official_page_url"":""https://apply.careers.dji.com/campus-recruitment/dji/143359?locale=zh-CN#/jobs"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""2027届"",""title"":""大疆创新校园招聘""},""batch_partitions"":[{""batch"":{""deadline"":"""",""identity_key"":""official-project:dji:tuojiangzhe:2027"",""official_page_url"":""https://apply.careers.dji.com/campus-recruitment/dji/143359?locale=zh-CN#/jobs"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""2027届毕业生"",""title"":""大疆创新 2027 拓疆者校园招聘""},""row_filters"":[{""not_equals_any"":[132985],""path"":""attribute_id""}]},{""batch"":{""deadline"":"""",""identity_key"":""official-project:dji:digital-management:2027"",""official_page_url"":""https://apply.careers.dji.com/campus-recruitment/dji/143359?locale=zh-CN#/jobs"",""published_on"":"""",""recruitment_type"":""special_program"",""target_audience"":""2027届及优秀2026届理工科毕业生"",""title"":""大疆创新数字管理构建者计划""},""row_filters"":[{""equals_any"":[132985],""path"":""attribute_id""}]}],""max_pages"":5,""mode"":""campus"",""org_id"":""dji"",""page_size"":100,""request_delay_seconds"":1,""site_id"":143359}",false
吉利控股,private,汽车制造,geely.com,ats,https://campus.geely.com/campus-recruitment/geely/98148#/,https://campus.geely.com/,T3 stable source P16; work/phase-02-t3-api-acceptance-cycle-18-evidence-backfill.json; official page https://campus.geely.com/campus-recruitment/geely/98148#/; 吉利官方 campus.geely.com 的 Moka 校招租户,moka_public_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:p16"",""official_page_url"":""https://campus.geely.com/campus-recruitment/geely/98148#/"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""吉利控股校园招聘""},""max_pages"":5,""mode"":""campus"",""org_id"":""geely"",""page_size"":100,""request_delay_seconds"":1,""site_id"":98148}",false
东风日产乘用车公司,joint_venture,汽车制造,dongfeng-nissan.com.cn,api,https://www.dongfeng-nissan.com.cn/about/recruit/intern,,T3 stable source J04; work/phase-02-t3-api-acceptance-cycle-18-evidence-backfill.json; official page https://www.dongfeng-nissan.com.cn/about/recruit/intern; 东风日产官网实习招聘页的公开脚本声明同集团 api.dongfeng-nissan.com.cn 接口和 categoryCode=3,json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:j04"",""official_page_url"":""https://www.dongfeng-nissan.com.cn/about/recruit/intern"",""published_on"":"""",""recruitment_type"":""internship"",""target_audience"":""实习生"",""title"":""东风日产乘用车公司实习招聘""},""body"":{""categoryCode"":""3"",""jobCategoryCode"":""-1"",""jobTitle"":"""",""pageCount"":""10"",""pageNum"":""1"",""publishDateCode"":""-1"",""workCityCode"":""-1""},""body_encoding"":""form"",""endpoint"":""https://api.dongfeng-nissan.com.cn/api/NissanXBeisenAPI/GetJobList"",""field_map"":{""location"":""workCity||workProvince"",""position_key"":""id"",""title"":""jobTitle""},""headers"":{""Accept"":""application/json"",""Origin"":""https://www.dongfeng-nissan.com.cn"",""Referer"":""https://www.dongfeng-nissan.com.cn/about/recruit/intern""},""list_path"":""data"",""method"":""POST"",""pagination"":{""max_pages"":5,""mode"":""page_index"",""page_param"":""pageNum"",""page_size"":10,""size_param"":""pageCount"",""start_page"":1,""total_kind"":""items""},""request_delay_seconds"":1,""row_filters"":[],""stop_on_short_page"":true,""success"":{""expect"":true,""path"":""success""}}",false
博世中国,foreign,汽车/工业技术,bosch.com.cn,ats,https://www.bosch.com.cn/careers/job-offers/,https://www.bosch.com.cn/careers/job-offers/,T3 stable source F05; work/phase-02-t3-api-acceptance-cycle-18-evidence-backfill.json; official page https://www.bosch.com.cn/careers/job-offers/; 博世中国官网职位页使用 SmartRecruiters 的 BoschGroup 公开租户,ats_json_api,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:f05"",""official_page_url"":""https://www.bosch.com.cn/careers/job-offers/"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""2027届"",""title"":""博世中国校园招聘""},""body_encoding"":""query"",""endpoint"":""https://api.smartrecruiters.com/v1/companies/BoschGroup/postings"",""field_map"":{""location"":""location.fullLocation||location.city"",""position_key"":""id"",""title"":""name""},""headers"":{""Accept"":""application/json"",""Referer"":""https://www.bosch.com.cn/careers/job-offers/""},""list_path"":""content"",""method"":""GET"",""pagination"":{""max_pages"":5,""mode"":""offset"",""page_param"":""offset"",""page_size"":100,""size_param"":""limit"",""start_offset"":0,""total_kind"":""items""},""params"":{""country"":""cn"",""limit"":100,""offset"":0,""q"":""校招""},""request_delay_seconds"":1,""row_filters"":[{""contains_any"":[""27届校招""],""path"":""name""}],""total_path"":""totalFound""}",false
广汽丰田汽车有限公司,joint_venture,汽车制造,gac-toyota.com.cn,ats,https://gac-toyota.zhiye.com/campus/,https://www.gac-toyota.com.cn/,T3 stable source J03; work/phase-02-t3-api-acceptance-cycle-18-evidence-backfill.json; official page https://gac-toyota.zhiye.com/campus/; 广汽丰田官网直链的北森校园招聘页；服务端 HTML 直接给出岗位表,embedded_jobs,"{""batch"":{""deadline"":"""",""identity_key"":""phase-02:j03"",""official_page_url"":""https://gac-toyota.zhiye.com/campus/"",""published_on"":"""",""recruitment_type"":""campus_recruitment"",""target_audience"":""应届毕业生"",""title"":""广汽丰田汽车有限公司校园招聘""},""field_map"":{""application_url"":""href"",""location"":""location"",""position_key"":""id"",""title"":""title"",""updated_at"":""""},""headers"":{""Accept"":""text/html""},""list_path"":""jobs"",""response_transform"":""gac_toyota_html"",""row_filters"":[{""contains_any"":[""应届可投""],""path"":""title""}],""total_path"":""total""}",false
